last_updated,avg_temp,avg_humidity,total_precip,avg_wind
2024-05-16,23.767195767195766,61.67989417989418,42.78,14.686507936507937
2024-05-17,24.451648351648352,59.76373626373626,26.77,13.989560439560439
2024-05-18,25.35560975609756,58.58536585365854,26.21,13.353658536585366
2024-05-19,25.270103092783504,60.36082474226804,31.61,13.74020618556701
2024-05-20,25.43076923076923,59.61025641025641,33.25,14.512820512820513
2024-05-21,25.38307692307692,60.77948717948718,29.08,15.496410256410257
2024-05-22,25.123076923076923,60.88205128205128,34.34,15.394358974358974
2024-05-23,25.066153846153846,61.287179487179486,33.5,14.11128205128205
2024-05-24,25.08871794871795,59.635897435897434,35.26,14.19025641025641
2024-05-25,25.249743589743588,59.84102564102564,42.49,13.922564102564102
2024-05-26,25.254358974358976,59.46666666666667,21.73,13.238974358974358
2024-05-27,25.66051282051282,58.0,39.01,14.625641025641025
2024-05-28,25.50051282051282,58.97435897435897,32.33,14.548717948717949
2024-05-29,25.575384615384614,58.55897435897436,22.72,13.87846153846154
2024-05-30,25.67282051282051,58.78974358974359,28.05,14.352820512820514
2024-05-31,25.849484536082475,58.9639175257732,49.88,14.503092783505155
2024-06-01,26.16102564102564,58.10769230769231,30.31,14.773333333333333
2024-06-02,25.89128205128205,59.47179487179487,26.84,14.271282051282052
2024-06-03,26.124102564102564,58.42051282051282,37.059999999999995,14.372307692307691
2024-06-04,26.25897435897436,57.88205128205128,24.72,13.907179487179487
2024-06-05,26.373333333333335,56.88717948717949,13.28,13.567692307692306
2024-06-06,26.538341968911915,56.50777202072539,12.21,13.454404145077719
2024-06-07,26.886666666666663,56.07179487179487,22.33,13.261025641025642
2024-06-08,26.554358974358976,58.87179487179487,34.95,13.94153846153846
2024-06-09,26.316410256410254,59.4,24.8,15.30051282051282
2024-06-10,25.674358974358974,61.774358974358975,27.97,14.855384615384617
2024-06-11,25.97025641025641,59.08717948717949,21.28,14.59025641025641
2024-06-12,26.093333333333334,58.635897435897434,22.58,13.301538461538463
2024-06-13,26.502564102564104,57.54871794871795,28.98,14.164102564102564
2024-06-14,25.623076923076923,58.276923076923076,30.83,13.415897435897435
2024-06-15,25.456410256410255,59.14358974358974,33.77,13.606153846153845
2024-06-16,25.875126903553298,58.974619289340104,57.78,13.282233502538071
2024-06-17,26.541578947368418,57.97894736842105,37.63,13.399473684210527
2024-06-18,26.87142857142857,58.26984126984127,50.39,13.206349206349206
2024-06-19,27.04973821989529,57.29319371727749,22.819999999999997,13.834031413612566
2024-06-20,26.70102564102564,58.53846153846154,30.16,14.644615384615383
2024-06-21,27.042021276595744,60.079787234042556,50.8,16.042021276595744
2024-06-22,26.922797927461144,59.50777202072539,21.259999999999998,15.16217616580311
2024-06-23,26.70923076923077,59.88717948717949,35.089999999999996,15.474871794871794
2024-06-24,26.613020833333334,59.838541666666664,26.98,13.722916666666668
2024-06-25,25.99060773480663,58.20441988950276,36.81,13.957458563535912
2024-06-26,27.04041450777202,59.67357512953368,21.23,14.427979274611399
2024-06-27,27.19179487179487,59.42051282051282,40.03,14.601538461538462
2024-06-28,26.993333333333332,59.63076923076923,27.39,14.868717948717949
2024-06-29,26.835858585858585,60.36868686868687,30.7,14.27979797979798
2024-06-30,26.914583333333336,59.822916666666664,29.84,14.458854166666667
2024-07-01,26.473333333333333,60.59487179487179,33.78,14.927179487179489
2024-07-02,26.28205128205128,60.256410256410255,35.99,14.37846153846154
2024-07-03,25.836923076923075,61.51282051282051,35.12,13.955384615384617
2024-07-04,25.997435897435896,61.08205128205128,29.39,14.776410256410257
2024-07-05,26.223232323232324,61.38383838383838,26.02,13.780303030303031
2024-07-06,26.813541666666666,58.8125,16.87,14.722916666666668
2024-07-07,26.304102564102564,61.215384615384615,40.65,14.053846153846154
2024-07-08,26.602564102564102,60.52307692307692,37.980000000000004,13.00102564102564
2024-07-09,27.33989898989899,58.656565656565654,20.22,12.692929292929293
2024-07-10,27.462500000000002,59.135416666666664,22.48,13.590625000000001
2024-07-11,27.44822335025381,60.06091370558376,26.18,13.55532994923858
2024-07-12,27.096858638743456,60.68062827225131,44.55,14.29109947643979
2024-07-13,26.632653061224488,60.755102040816325,26.64,14.645578231292518
2024-07-14,27.037628865979382,58.48453608247423,40.54,14.25
2024-07-15,26.993333333333332,59.42564102564103,28.72,12.698461538461537
2024-07-16,26.890404040404043,61.59090909090909,41.37,13.772727272727273
2024-07-17,27.336410256410257,59.87179487179487,25.55,13.524102564102563
2024-07-18,27.47948717948718,59.51282051282051,29.83,13.32102564102564
2024-07-19,27.661538461538463,60.194871794871794,36.13,14.221538461538461
2024-07-20,27.24051282051282,61.10769230769231,37.49,13.930769230769231
2024-07-21,20.599999999999998,76.0,2.31,12.6
2024-07-23,27.229268292682928,58.48780487804878,41.14,14.295731707317072
2024-07-24,26.61692307692308,58.16923076923077,35.05,14.552820512820514
2024-07-25,26.492820512820515,57.96410256410256,33.23,14.29897435897436
2024-07-26,26.397435897435898,58.87179487179487,24.09,13.871282051282051
2024-07-27,26.90153846153846,57.225641025641025,24.72,12.81128205128205
2024-07-28,26.76358974358974,56.805128205128206,23.26,14.693846153846154
2024-07-29,26.433505154639178,56.58762886597938,31.1,15.334020618556702
2024-07-30,26.62974358974359,56.66153846153846,33.22,14.030256410256412
2024-07-31,26.82153846153846,56.758974358974356,27.97,13.735897435897435
2024-08-01,27.01846153846154,57.0,34.05,14.20923076923077
2024-08-02,26.970769230769232,56.93333333333333,39.17,14.302564102564103
2024-08-03,26.50923076923077,58.46153846153846,29.66,14.721538461538461
