ds,yhat,yhat_lower,yhat_upper
2024-05-16,24.75019804332989,23.81925679023136,25.70554746849583
2024-05-17,24.802430612204777,23.857346916177487,25.770522526998526
2024-05-18,24.86001456855809,23.883063644983608,25.87531853625335
2024-05-19,24.922465261862705,23.953541571633274,25.803928285538657
2024-05-20,24.989204570411527,24.06158098896568,25.902873338791
2024-05-21,25.059578981137623,24.037461676677793,25.981400246991388
2024-05-22,25.13287896252182,24.11020462401287,26.08147924414837
2024-05-23,25.208359061904527,24.21324047566882,26.11636862182213
2024-05-24,25.2852581527901,24.27935085829634,26.22304349278404
2024-05-25,25.362819268282056,24.376887323180455,26.350534507136064
2024-05-26,25.440308483052146,24.509265382343987,26.4590474395011
2024-05-27,25.517032347185935,24.49219049837873,26.513796002294654
2024-05-28,25.592353429495176,24.61850964134597,26.534271172714277
2024-05-29,25.665703593622137,24.718042270607018,26.667473066293965
2024-05-30,25.73659470543717,24.768593705906476,26.748911575490627
2024-05-31,25.80462655251197,24.851230191120855,26.769960344255924
2024-06-01,25.869491843341287,24.908431843449147,26.839151872070463
2024-06-02,25.93097824291287,24.989690001267142,26.850715360617322
2024-06-03,25.988967489537004,25.070579253081288,26.95144113133945
2024-06-04,26.04343172302019,25.089457202047278,26.984965277897242
2024-06-05,26.094427233834214,25.150525671710017,27.052671558278572
2024-06-06,26.1420859128303,25.168163441389975,27.09115197577093
2024-06-07,26.186604753981264,25.238685561973163,27.184128874376015
2024-06-08,26.22823378551603,25.282255172057283,27.216537818357764
2024-06-09,26.267262879167504,25.351475385212606,27.196278624658127
2024-06-10,26.30400788361812,25.349347900441416,27.32791035234597
2024-06-11,26.338796548947062,25.368856607338568,27.348961838071233
2024-06-12,26.37195470244967,25.36659928790153,27.310256700169045
2024-06-13,26.403793117669487,25.453509052081685,27.403861714296248
2024-06-14,26.43459548676821,25.392066238625336,27.448268349050892
2024-06-15,26.464607862613892,25.53271886248219,27.465719802979475
2024-06-16,26.49402988267267,25.513040047350053,27.46960810397468
2024-06-17,26.523008023734764,25.564992696348764,27.435999348850103
2024-06-18,26.5516310667301,25.56671102709491,27.537540564003486
2024-06-19,26.579927876587227,25.56577836306153,27.56322615790754
2024-06-20,26.60786752560335,25.65444348649699,27.5522446602617
2024-06-21,26.635361712467287,25.697205415114034,27.604699076240298
2024-06-22,26.662269355276916,25.69509941443857,27.600872668114544
2024-06-23,26.688403167821967,25.737497051458366,27.65301339325369
2024-06-24,26.713537966171042,25.734021334067865,27.658640444476895
2024-06-25,26.73742040141402,25.759667489584217,27.70354445189218
2024-06-26,26.75977975680207,25.81167244671434,27.698533252577235
2024-06-27,26.78033945141259,25.838985063467305,27.737341164686345
2024-06-28,26.79882882538265,25.829207755093584,27.877742958832133
2024-06-29,26.814994810894916,25.863400851810432,27.78413633795337
2024-06-30,26.828613085222116,25.96643889627193,27.79840474865293
2024-07-01,26.83949832361263,25.85183401520895,27.79596082095481
2024-07-02,26.847513200926777,25.90290988970505,27.790388509181764
2024-07-03,26.852575833024336,25.824068235534845,27.78989775668534
2024-07-04,26.854665400612,25.83015044468475,27.89073233097289
2024-07-05,26.853825757908886,25.857211848933368,27.85445317222742
2024-07-06,26.8501668942003,25.896309968898887,27.863438915688107
2024-07-07,26.843864186042165,25.867007525793905,27.764860436884753
2024-07-08,26.835155449373048,25.856820804015854,27.832267679873084
2024-07-09,26.82433587185707,25.889020324964072,27.691354450437004
2024-07-10,26.811750974199576,25.7964967549189,27.807158038175
2024-07-11,26.797787812838315,25.876806081770447,27.785698624624853
2024-07-12,26.782864693333096,25.76360922343851,27.72465339467067
2024-07-13,26.76741971219813,25.795387542305107,27.720097653781643
2024-07-14,26.751898483357383,25.75778940636691,27.6859146459577
2024-07-15,26.73674143311773,25.800419868015304,27.738100801346125
2024-07-16,26.722371059965702,25.760182016370027,27.714600499215187
2024-07-17,26.70917956527183,25.7687768012799,27.61868956049394
2024-07-18,26.69751724172567,25.777911776120025,27.69405025273824
2024-07-19,26.687681991229365,25.727299142178392,27.684376747067798
2024-07-20,26.67991030737922,25.725195621236896,27.598182320506762
2024-07-21,26.67437001378067,25.72199061253211,27.67199166566134
2024-07-23,26.670282102377293,25.715548688010163,27.59610043237442
